Priority,LAT,LON
1,35.4222848,-79.1224862
1,35.4320028,-79.1667405
1,35.3924518,-79.1943656
1,35.4442564,-79.2203765
1,35.4519820,-79.1360250
1,35.5234176,-79.1611197
1,35.5446247,-79.2399344
1,35.5017434,-79.2282985
1,35.4623583,-79.1916549
1,35.4689952,-79.2129983
1,35.4489898,-79.1711587
1,35.5325059,-79.1183745
1,35.4864626,-79.1840538
1,35.5098637,-79.2115758
1,35.4951437,-79.1949223
1,35.5011361,-79.1793054
1,35.4755711,-79.1788916
1,35.4625740,-79.1420446
1,35.4781741,-79.1352409
1,35.4747556,-79.1566181
1,35.4421306,-79.1120967
2,35.3606234,-79.1876718
2,35.3543726,-79.2303274
2,35.3633711,-79.2705826
2,35.4523546,-79.2827047
2,35.4432147,-79.2415240
2,35.4571633,-79.2543412
2,35.4034368,-79.2874502
2,35.3782351,-79.1520728
2,35.3966924,-79.0892555
2,35.5282241,-79.0460851
2,35.4877927,-79.0697062
2,35.4344440,-79.0688804
2,35.5530913,-79.1254344
2,35.5478027,-79.1523600
2,35.5005798,-79.1674663
2,35.4917778,-79.2555241
2,35.4876081,-79.3120797
2,35.4288780,-79.3098960
2,35.4284693,-79.2903755
2,35.3736151,-79.1203575
2,35.3522355,-79.1814918
2,35.4248099,-79.2460097
2,35.4217921,-79.2261956
2,35.4225036,-79.2004679
2,35.5334374,-79.2396806
2,35.5151530,-79.2373904
2,35.6139725,-79.1061742
2,35.5836417,-79.1547652
2,35.5723070,-79.1258754
