DEMAND,HEAD,PRESSURE,LAT,LON
0.000,578.49,123.88,35.4588120,-79.2629929
0.005,577.65,109.19,35.4591243,-79.2666573
0.000,577.62,107.77,35.4590939,-79.2668187
0.000,577.58,105.70,35.4590440,-79.2670220
0.001,576.77,86.85,35.4579757,-79.2711252
0.000,610.77,58.51,35.4462742,-79.2169434
0.000,610.77,57.18,35.4481846,-79.2169791
0.000,610.77,58.91,35.4461773,-79.2169412
0.000,610.77,57.99,35.4461819,-79.2167230
0.000,610.77,58.04,35.4460157,-79.2167250
0.001,610.77,60.20,35.4455894,-79.2167290
0.000,610.77,58.48,35.4461828,-79.2168081
0.000,610.77,57.76,35.4461829,-79.2166770
0.001,610.77,62.95,35.4461568,-79.2180966
0.000,610.77,61.10,35.4475369,-79.2181149
0.000,610.77,57.61,35.4463137,-79.2166814
0.000,610.77,51.11,35.4430597,-79.2156076
0.000,610.77,50.93,35.4430965,-79.2157773
0.000,610.76,48.87,35.4420108,-79.2161473
0.000,610.73,48.49,35.4420874,-79.2163530
0.005,610.67,48.88,35.4422350,-79.2167906
0.000,612.92,59.29,35.4484194,-79.2233695
0.000,612.98,59.61,35.4486311,-79.2234818
0.000,612.98,60.41,35.4485710,-79.2236376
0.000,610.76,47.64,35.4414078,-79.2163956
0.001,610.79,48.07,35.4414549,-79.2165167
0.002,614.16,64.28,35.4528281,-79.2264065
0.002,614.16,64.25,35.4527215,-79.2265327
0.000,614.16,63.74,35.4528347,-79.2266439
0.001,613.05,75.59,35.4520504,-79.2225108
0.004,613.06,75.85,35.4522511,-79.2223102
0.001,611.81,88.38,35.4515525,-79.2188717
0.000,611.68,86.50,35.4512458,-79.2183419
0.000,611.61,84.16,35.4510996,-79.2180704
0.000,611.59,82.92,35.4511749,-79.2180182
0.000,611.61,84.63,35.4509419,-79.2182274
0.000,611.61,85.04,35.4505944,-79.2185369
0.002,611.81,72.89,35.4502565,-79.2198861
0.000,611.81,73.61,35.4502542,-79.2197078
0.001,611.81,76.26,35.4496594,-79.2192426
0.001,611.81,74.26,35.4498292,-79.2194868
0.003,612.23,83.76,35.4525419,-79.2199572
0.001,612.23,84.40,35.4526808,-79.2199973
0.002,612.99,77.39,35.4519045,-79.2223058
0.000,612.99,77.92,35.4520154,-79.2222048
0.001,610.66,48.03,35.4410303,-79.2166573
0.010,610.66,48.46,35.4410880,-79.2168198
0.001,610.77,59.66,35.4495891,-79.2149966
0.005,610.77,60.65,35.4496139,-79.2151805
0.001,610.76,53.71,35.4463437,-79.2131113
0.000,610.76,54.25,35.4464200,-79.2132586
0.000,610.76,55.01,35.4471515,-79.2124988
0.000,610.76,56.31,35.4477118,-79.2120803
0.000,610.76,57.61,35.4485038,-79.2113428
0.000,610.76,58.30,35.4486991,-79.2109196
0.000,610.76,58.34,35.4482191,-79.2106210
0.000,610.76,61.37,35.4470040,-79.2098635
0.000,610.76,56.74,35.4477875,-79.2122329
0.000,610.76,57.54,35.4481550,-79.2107844
0.000,610.76,60.31,35.4469338,-79.2100231
0.000,610.77,52.41,35.4445285,-79.2146982
0.000,610.77,52.67,35.4445834,-79.2146688
0.000,610.77,52.53,35.4443976,-79.2147906
0.000,610.77,52.49,35.4444601,-79.2147464
0.000,610.76,67.28,35.4460307,-79.2092496
0.000,610.76,71.81,35.4457805,-79.2090871
0.000,610.76,66.87,35.4459654,-79.2094084
0.002,610.76,60.01,35.4492608,-79.2093506
0.000,610.76,62.34,35.4493907,-79.2094216
0.000,584.97,84.21,35.4522319,-79.2424828
0.000,584.97,83.75,35.4522356,-79.2423091
0.000,585.03,84.16,35.4521019,-79.2424987
0.001,587.48,61.13,35.4458184,-79.2426829
0.000,587.48,60.58,35.4458121,-79.2425132
0.000,587.52,61.53,35.4457236,-79.2426825
0.001,588.38,68.48,35.4410480,-79.2506223
0.000,588.38,69.02,35.4409173,-79.2505717
0.001,588.38,68.27,35.4410195,-79.2507236
0.002,588.37,73.57,35.4409168,-79.2531100
0.001,588.37,73.49,35.4407851,-79.2531284
0.000,590.70,54.96,35.4419425,-79.2381683
0.001,590.77,55.12,35.4418821,-79.2380553
0.000,590.70,54.13,35.4418211,-79.2382597
0.000,588.36,92.87,35.4409581,-79.2565165
0.001,588.36,93.13,35.4409212,-79.2566178
0.000,588.36,94.68,35.4407901,-79.2565561
0.001,589.49,64.56,35.4395764,-79.2421924
0.001,589.49,64.44,35.4394923,-79.2422583
0.000,589.49,65.54,35.4395034,-79.2420502
0.000,604.54,40.61,35.4358632,-79.2256969
0.000,604.09,40.41,35.4358504,-79.2258453
0.004,609.83,48.54,35.4377690,-79.2186586
