OBJECTID,ELEVATION,HYDRANTID,FFW,LAT,LON
1.00000,321.54442,ERWN 758,1931.00000,35.4744848,-79.2028901
2.00000,336.46229,STRT801,1868.00000,35.4767654,-79.2033105
3.00000,308.52949,STRT811,2035.00000,35.4778817,-79.2019052
4.00000,329.10898,CRBT 1706,1903.00000,35.4797260,-79.2037276
5.00000,342.93258,MCLD 2211,1806.00000,35.4766929,-79.2056805
6.00000,351.85671,MCLD 2417,1757.00000,35.4760616,-79.2079678
7.00000,361.48099,MCLD 764,1840.00000,35.4743607,-79.2087282
8.00000,372.13482,CLNL 2285,1611.00000,35.4761475,-79.2098457
9.00000,369.32381,NFRK 882,1625.00000,35.4770087,-79.2087636
10.00000,364.50597,HMTN 2051,1660.00000,35.4780737,-79.2081541
11.00000,361.45654,HMTN 1959,1694.00000,35.4780244,-79.2065420
12.00000,348.27735,NCUR 704,1778.00000,35.4780339,-79.2054367
13.00000,306.03303,32D-26,2049.00000,35.4812371,-79.2024521
14.00000,307.15680,PRWY 1620,2035.00000,35.4804822,-79.2025995
15.00000,379.94241,DPRD 4266,1625.00000,35.5933003,-79.1460707
16.00000,321.21240,ODCR 1630,1979.00000,35.4805001,-79.2030984
17.00000,305.18676,PRWY 1600,2021.00000,35.4811495,-79.2015008
18.00000,290.24173,FLSP 1029,2076.00000,35.4817760,-79.2011088
19.00000,285.74063,FLSP 953,2076.00000,35.4826605,-79.2014812
20.00000,289.10323,CRVW 1152,2056.00000,35.4820583,-79.2020830
21.00000,288.62077,FLSP 913,2042.00000,35.4831401,-79.2022647
22.00000,306.49689,WLKN923,2042.00000,35.4830099,-79.2030744
23.00000,305.69209,WLKN911,2056.00000,35.4820836,-79.2028390
24.00000,287.33355,WLKN939,2146.00000,35.4840188,-79.2033255
25.00000,285.64311,32-D22,2139.00000,35.4855450,-79.2036847
26.00000,282.10877,SPNG1202,2194.00000,35.4881080,-79.2036210
27.00000,286.92075,RBPL 06,2167.00000,35.4849055,-79.2025883
28.00000,297.61661,32-D11,2118.00000,35.4840761,-79.2014392
29.00000,308.78775,RBPL 02,2049.00000,35.4843700,-79.1989180
30.00000,298.53119,RBPL 01,2097.00000,35.4850589,-79.1991642
31.00000,292.21936,SPNG 1005,2146.00000,35.4873908,-79.1992826
32.00000,283.61850,SPNG1002,2188.00000,35.4877300,-79.2000428
33.00000,273.25891,SPNG1130,2229.00000,35.4879341,-79.2019834
34.00000,287.82791,32-D13,2167.00000,35.4856091,-79.2017736
35.00000,300.27157,32-D10,2090.00000,35.4843796,-79.2005664
36.00000,285.46511,PLZA1351,2201.00000,35.4898954,-79.2001202
37.00000,286.07689,PLZA1351,2194.00000,35.4888222,-79.2004506
38.00000,284.13827,PLZA1333,2174.00000,35.4884626,-79.2007337
39.00000,311.39594,DGLS 1589,2083.00000,35.4914666,-79.1969895
40.00000,326.83173,DGLS 1847,1993.00000,35.4950512,-79.1978462
41.00000,333.61570,DGLS 1801,1917.00000,35.4959074,-79.1989899
42.00000,313.83273,NHRN 1226,2042.00000,35.4975345,-79.1983579
43.00000,285.83038,NHRN 1400,2188.00000,35.4990809,-79.2006303
44.00000,286.41071,CMFT 1396,2194.00000,35.4993628,-79.2043660
45.00000,316.54377,32A-28,1993.00000,35.5031292,-79.2091993
46.00000,327.23559,NT,1889.00000,35.5014005,-79.2094743
47.00000,291.60580,NHRN 1562,2215.00000,35.5021988,-79.2049272
48.00000,279.31813,WLKN2710,2215.00000,35.5043028,-79.2050460
49.00000,269.28790,WLKN2740,2285.00000,35.5047890,-79.2038347
50.00000,285.34063,LNDP 112,2181.00000,35.5055121,-79.2072414
51.00000,288.08844,INDP 220,2167.00000,35.5067836,-79.2082235
52.00000,281.95957,HRMT 1200,2188.00000,35.4887260,-79.2057109
53.00000,302.66912,HRMT 1306,2062.00000,35.4882957,-79.2072623
54.00000,365.47362,SPNG 1698,1653.00000,35.4865326,-79.2103574
55.00000,360.16195,SPNG 1792,1674.00000,35.4874632,-79.2124706
56.00000,360.95584,SPNG 1812,1660.00000,35.4883643,-79.2144027
57.00000,315.49090,BRCL 1600,1986.00000,35.4890814,-79.2110097
58.00000,348.25315,32D-61,1771.00000,35.4900707,-79.2131761
59.00000,338.97573,WNML1520,1812.00000,35.4915983,-79.2120727
60.00000,315.68239,LDAS 1512,1951.00000,35.4910988,-79.2110409
61.00000,338.35215,VNCN 1508,1854.00000,35.4916263,-79.2108400
62.00000,320.31609,BRTD 1409,1986.00000,35.4900795,-79.2069582
63.00000,346.01740,WLKN1731,1799.00000,35.4915529,-79.2070959
64.00000,291.42161,BRCL 1511,2132.00000,35.4894830,-79.2087385
65.00000,366.50478,PLTT 2144,1611.00000,35.4883909,-79.2154780
66.00000,355.31643,ATMN 1945,1715.00000,35.4876401,-79.2166295
67.00000,355.39775,PLTT 2135,1736.00000,35.4872443,-79.2156430
68.00000,346.94428,SDDW 1801,1764.00000,35.4870866,-79.2144828
69.00000,305.75867,32-D19,2042.00000,35.4899519,-79.2041876
70.00000,344.27051,WLKN1719,1910.00000,35.4909114,-79.2058047
71.00000,345.65447,WLKN1909,1792.00000,35.4934242,-79.2092338
72.00000,343.80434,WLKN1911,1806.00000,35.4946440,-79.2099979
73.00000,333.09138,BKWD 2431,1861.00000,35.4993137,-79.2101481
74.00000,343.92553,WLKN2203,1806.00000,35.4970697,-79.2100840
75.00000,304.09913,PNKL 601,2062.00000,35.4974032,-79.2060148
76.00000,331.52054,PNKL 608,1896.00000,35.4972360,-79.2076726
77.00000,336.64471,PNKL 618,1826.00000,35.4971221,-79.2086567
78.00000,333.32499,VLLY 400,1882.00000,35.5018338,-79.2105185
79.00000,320.65091,32A-29,1958.00000,35.5034509,-79.2099043
80.00000,319.34722,32A-30,1972.00000,35.5038328,-79.2117666
81.00000,300.14117,32A-31,2104.00000,35.5040199,-79.2132632
82.00000,283.47502,32A-34,2132.00000,35.5028267,-79.2140578
83.00000,320.57448,32A-33,2014.00000,35.5028522,-79.2125715
84.00000,323.96099,32A-32,1917.00000,35.5029783,-79.2111237
85.00000,294.77481,32A-36,2042.00000,35.5018250,-79.2125911
86.00000,296.85486,VLLY  504,2146.00000,35.5017138,-79.2155036
87.00000,282.98668,22B 18,2174.00000,35.5019571,-79.2194781
88.00000,309.01910,22B-15,2042.00000,35.5026985,-79.2213606
89.00000,373.11846,CLSG 1902,1639.00000,35.5044237,-79.2272875
90.00000,317.93790,22B-40,1965.00000,35.5008610,-79.2246264
91.00000,337.66771,22B-39,1854.00000,35.5011235,-79.2262351
92.00000,371.22592,CLSG 1519,1604.00000,35.5016818,-79.2281642
93.00000,313.90957,22B-16,1958.00000,35.5010700,-79.2224117
94.00000,351.81088,22B-35,1715.00000,35.4999261,-79.2239765
95.00000,327.54992,22B-17,1819.00000,35.4991177,-79.2230333
96.00000,326.98977,WNML 2024,1924.00000,35.4936748,-79.2065144
97.00000,274.87986,BTYW 915,2125.00000,35.4957840,-79.2069948
98.00000,313.51342,BKWD 2179,1986.00000,35.4961538,-79.2117784
99.00000,296.81259,BKWD 2345,2097.00000,35.4995268,-79.2123947
100.00000,338.97940,BKWD 2513,1854.00000,35.4993481,-79.2083720
101.00000,327.74407,LKLD 2438,1931.00000,35.5001768,-79.2157491
102.00000,312.62491,LKLD 2236,1993.00000,35.4989398,-79.2156052
103.00000,325.09870,LKLD 2193,1986.00000,35.4965429,-79.2166081
104.00000,336.52875,HLDY 1870,1840.00000,35.4962305,-79.2185162
105.00000,370.31829,22B-25,1757.00000,35.4980954,-79.2193295
106.00000,349.35589,22B-24,1750.00000,35.4971171,-79.2187775
107.00000,342.32403,HLDY 1912,1806.00000,35.4972857,-79.2226027
108.00000,367.45464,TMBN 1607,1625.00000,35.4986313,-79.2244268
109.00000,369.70461,TMBN 2211,1583.00000,35.4988141,-79.2273235
110.00000,377.00855,VNTG 1709,1549.00000,35.4982442,-79.2262453
111.00000,359.28098,ASFD 2146,1667.00000,35.4997698,-79.2255025
112.00000,349.70607,JSNY 2014,1757.00000,35.4975855,-79.2252034
113.00000,351.12316,JSNY 2101,1729.00000,35.4965516,-79.2252254
114.00000,350.90874,JSNY 2109,1736.00000,35.4951695,-79.2257472
115.00000,371.11235,CLSG 1505,1590.00000,35.4960969,-79.2286519
116.00000,370.50585,22B 41,1653.00000,35.4960483,-79.2304031
117.00000,355.82247,STHN 2124,1694.00000,35.4958201,-79.2316695
118.00000,355.42781,22B-43,1743.00000,35.4954923,-79.2333624
119.00000,363.89532,22B-44,1653.00000,35.4956849,-79.2349739
120.00000,350.63515,22A-2,1743.00000,35.4956043,-79.2365458
121.00000,354.63166,22A-3,1812.00000,35.4960562,-79.2378490
122.00000,337.49781,22A-4,1840.00000,35.4964434,-79.2388696
123.00000,368.50909,CLMB 1609,1625.00000,35.4930076,-79.2257822
124.00000,349.39453,CLMB 1731,1910.00000,35.4941412,-79.2245215
125.00000,353.99636,PAUL 2012,1778.00000,35.4956772,-79.2232763
126.00000,360.21547,CLMB 1567,1708.00000,35.4916761,-79.2263595
127.00000,354.15496,LDAS 2376,1715.00000,35.4906777,-79.2258083
128.00000,356.07423,LDAS 2372,1729.00000,35.4911590,-79.2244916
129.00000,322.58604,LDAS 1712,1958.00000,35.4925373,-79.2143374
130.00000,323.91461,PSWK 1809,1938.00000,35.4913407,-79.2148676
131.00000,333.87415,LRKS 2001,1861.00000,35.4919956,-79.2171284
