OBJECTID,ELEVATION,TRAVEL,LON,LAT
0.00000,321.54442,40.51000,-79.2028901,35.4744848
1.00000,336.46229,31.99000,-79.2033105,35.4767654
2.00000,308.52949,31.95000,-79.2019052,35.4778817
3.00000,329.10898,52.50000,-79.2037276,35.4797260
4.00000,342.93258,40.41000,-79.2056805,35.4766929
5.00000,351.85671,41.07000,-79.2079678,35.4760616
6.00000,361.48099,39.33000,-79.2087282,35.4743607
7.00000,372.13482,44.41000,-79.2098457,35.4761475
8.00000,369.32381,40.31000,-79.2087636,35.4770087
9.00000,364.50597,39.91000,-79.2081541,35.4780737
10.00000,361.45654,40.60000,-79.2065420,35.4780244
11.00000,348.27735,74.02000,-79.2054367,35.4780339
12.00000,306.03303,57.94000,-79.2024521,35.4812371
13.00000,307.15680,53.72000,-79.2025995,35.4804822
14.00000,379.94241,63.66000,-79.1460707,35.5933003
15.00000,321.21240,53.72000,-79.2030984,35.4805001
16.00000,305.18676,57.92000,-79.2015008,35.4811495
17.00000,290.24173,57.92000,-79.2011088,35.4817760
18.00000,285.74063,62.81000,-79.2014812,35.4826605
19.00000,289.10323,62.81000,-79.2020830,35.4820583
20.00000,288.62077,49.57000,-79.2022647,35.4831401
21.00000,306.49689,49.57000,-79.2030744,35.4830099
22.00000,305.69209,62.81000,-79.2028390,35.4820836
23.00000,287.33355,45.17000,-79.2033255,35.4840188
24.00000,285.64311,51.90000,-79.2036847,35.4855450
25.00000,282.10877,62.36000,-79.2036210,35.4881080
26.00000,286.92075,51.90000,-79.2025883,35.4849055
27.00000,297.61661,45.17000,-79.2014392,35.4840761
28.00000,308.78775,64.15000,-79.1989180,35.4843700
29.00000,298.53119,64.15000,-79.1991642,35.4850589
30.00000,292.21936,64.15000,-79.1992826,35.4873908
31.00000,283.61850,64.22000,-79.2000428,35.4877300
32.00000,273.25891,65.18000,-79.2019834,35.4879341
33.00000,287.82791,51.90000,-79.2017736,35.4856091
34.00000,300.27157,45.17000,-79.2005664,35.4843796
35.00000,285.46511,65.31000,-79.2001202,35.4898954
36.00000,286.07689,65.31000,-79.2004506,35.4888222
37.00000,284.13827,65.23000,-79.2007337,35.4884626
38.00000,311.39594,23.07000,-79.1969895,35.4914666
39.00000,326.83173,25.46000,-79.1978462,35.4950512
40.00000,333.61570,27.98000,-79.1989899,35.4959074
41.00000,313.83273,25.40000,-79.1983579,35.4975345
42.00000,285.83038,25.24000,-79.2006303,35.4990809
43.00000,286.41071,25.06000,-79.2043660,35.4993628
44.00000,316.54377,31.54000,-79.2091993,35.5031292
45.00000,327.23559,31.33000,-79.2094743,35.5014005
46.00000,291.60580,25.06000,-79.2049272,35.5021988
47.00000,279.31813,30.02000,-79.2050460,35.5043028
48.00000,269.28790,30.02000,-79.2038347,35.5047890
49.00000,285.34063,31.52000,-79.2072414,35.5055121
50.00000,288.08844,31.52000,-79.2082235,35.5067836
51.00000,281.95957,59.04000,-79.2057109,35.4887260
52.00000,302.66912,58.11000,-79.2072623,35.4882957
53.00000,365.47362,60.96000,-79.2103574,35.4865326
54.00000,360.16195,61.42000,-79.2124706,35.4874632
55.00000,360.95584,65.26000,-79.2144027,35.4883643
56.00000,315.49090,62.38000,-79.2110097,35.4890814
57.00000,348.25315,54.68000,-79.2131761,35.4900707
58.00000,338.97573,56.86000,-79.2120727,35.4915983
59.00000,315.68239,59.09000,-79.2110409,35.4910988
60.00000,338.35215,55.61000,-79.2108400,35.4916263
61.00000,320.31609,64.40000,-79.2069582,35.4900795
